iter	MultiClass
0	1.763923485
1	1.733690268
2	1.697657092
3	1.666999527
4	1.633180942
5	1.605972194
6	1.578369777
7	1.552435736
8	1.522850618
9	1.499171737
10	1.476222453
11	1.458616902
12	1.440249344
13	1.418923414
14	1.402925742
15	1.382491888
16	1.365638459
17	1.351445684
18	1.333903043
19	1.318748738
20	1.303379129
21	1.286879472
22	1.273107932
23	1.25662658
24	1.241614754
25	1.226352589
26	1.213294266
27	1.201288539
28	1.189356267
29	1.179117026
30	1.165217371
31	1.152280781
32	1.141131535
33	1.129376936
34	1.11957426
35	1.108502699
36	1.099797369
37	1.088808713
38	1.077470305
39	1.067822678
40	1.058797427
41	1.05134112
42	1.042065237
43	1.032000064
44	1.022561357
45	1.014042835
46	1.006133852
47	0.9988948932
48	0.9906514327
49	0.9830206681
50	0.9753814621
51	0.9692383034
52	0.9610017097
53	0.9532868264
54	0.9458630962
55	0.9387771747
56	0.9321102583
57	0.9263213616
58	0.9197913527
59	0.913701885
60	0.90846931
61	0.9020983628
62	0.8958340406
63	0.8909554522
64	0.8854351591
65	0.8792284396
66	0.8733047361
67	0.8689573547
68	0.8639179517
69	0.8590539223
70	0.8547582704
71	0.8506561422
72	0.8459538766
73	0.8405265131
74	0.837118194
75	0.8327377196
76	0.8279237397
77	0.824149506
78	0.8194119053
79	0.8152284385
80	0.8109264582
81	0.8066680896
82	0.802697354
83	0.797677881
84	0.7938614052
85	0.7902685399
86	0.7860866469
87	0.7824932173
88	0.778579671
89	0.7748835096
90	0.7721788452
91	0.7686828069
92	0.765531844
93	0.7630091367
94	0.7590463815
95	0.7554101183
96	0.7515403411
97	0.7483764303
98	0.7450813252
99	0.7422256738
100	0.7385279677
101	0.7352063435
102	0.7323576184
103	0.7287569131
104	0.7260238161
105	0.7231623568
106	0.7205715629
107	0.7180943469
108	0.7156924602
109	0.7127263433
110	0.7091726153
111	0.7058694727
112	0.7027057922
113	0.6998503942
114	0.697145826
115	0.6939517973
116	0.6920977996
117	0.6897686285
118	0.6873253255
119	0.6847713581
120	0.6820047186
121	0.6794310449
122	0.677030248
123	0.6750145457
124	0.6729058001
125	0.6706992848
126	0.6681680498
127	0.6656090137
128	0.6636666623
129	0.6618720498
130	0.6596579569
131	0.6576785567
132	0.6559156703
133	0.6531315004
134	0.6511351674
135	0.6491129201
136	0.6471231361
137	0.645244629
138	0.6427235061
139	0.6413507528
140	0.6393118715
141	0.6376704569
142	0.6354215364
143	0.6332528397
144	0.6312396099
145	0.6291397388
146	0.6271380403
147	0.6257157858
148	0.6240346465
149	0.6222298353
150	0.6204149326
151	0.6185753725
152	0.6165753119
153	0.614819306
154	0.6130582537
155	0.6116589614
156	0.6097796571
157	0.6076648224
158	0.6063383076
159	0.6045379858
160	0.6029790542
161	0.6015619631
162	0.5998970472
163	0.5985763709
164	0.5971409253
165	0.5958704915
166	0.5944352621
167	0.5929276978
168	0.5916810464
169	0.590228309
170	0.5888262556
171	0.5872942029
172	0.5861686203
173	0.5848585976
174	0.583417218
175	0.5817071108
176	0.579937157
177	0.5787172744
178	0.5770606818
179	0.5754079651
180	0.574117988
181	0.5733156714
182	0.5725791165
183	0.5710626865
184	0.5700471816
185	0.5688319419
186	0.567270941
187	0.5660558027
188	0.5651359223
189	0.5635638035
190	0.5621781766
191	0.5612160718
192	0.5598207813
193	0.5589047619
194	0.5574228313
195	0.5563432724
196	0.5547661883
197	0.5535921885
198	0.5524209718
199	0.5512799865
200	0.5495906027
201	0.5482888783
202	0.5471453837
203	0.545619388
204	0.5444748579
205	0.5429029159
206	0.5417852107
207	0.540519869
