iter	Passed	Remaining
0	169	169070
1	173	86764
2	178	59186
3	181	45195
4	185	36841
5	188	31176
6	192	27289
7	195	24249
8	198	21884
9	201	19917
10	205	18512
11	208	17192
12	212	16133
13	215	15156
14	220	14471
15	223	13760
16	228	13196
17	230	12596
18	234	12107
19	238	11692
20	242	11303
21	245	10914
22	249	10578
23	252	10274
24	256	10008
25	259	9715
26	262	9471
27	265	9213
28	269	9025
29	272	8804
30	276	8627
31	278	8417
32	281	8256
33	284	8088
34	288	7940
35	290	7782
36	293	7650
37	296	7506
38	300	7401
39	302	7266
40	306	7167
41	308	7044
42	312	6953
43	314	6838
44	318	6766
45	321	6663
46	326	6620
47	328	6519
48	332	6444
49	334	6354
50	337	6289
51	340	6211
52	343	6145
53	346	6070
54	350	6013
55	352	5938
56	355	5884
57	358	5829
58	371	5926
59	374	5873
60	378	5826
61	386	5849
62	390	5806
63	393	5748
64	396	5704
65	399	5650
66	402	5611
67	405	5558
68	408	5517
69	411	5461
70	414	5423
71	417	5378
72	420	5339
73	423	5300
74	425	5253
75	430	5228
76	432	5185
77	436	5156
78	439	5119
79	442	5093
80	446	5065
81	450	5045
82	453	5005
83	456	4976
84	458	4937
85	462	4918
86	465	4881
87	468	4856
88	471	4825
89	474	4801
90	477	4769
91	481	4747
92	483	4714
93	487	4694
94	489	4659
95	492	4639
96	495	4611
97	499	4593
98	501	4565
99	505	4545
100	507	4517
101	511	4501
102	513	4472
103	516	4454
104	519	4426
105	522	4409
106	525	4382
107	528	4363
108	530	4337
109	533	4319
110	536	4293
111	539	4277
112	542	4255
113	545	4239
114	547	4216
115	551	4200
116	553	4177
117	557	4166
118	559	4144
119	563	4132
120	565	4110
121	569	4097
122	571	4075
123	575	4064
124	577	4043
125	580	4029
126	583	4010
127	586	3998
128	589	3977
129	592	3966
130	595	3947
131	598	3937
132	601	3918
133	604	3905
134	607	3889
135	610	3877
136	613	3861
137	616	3850
138	619	3834
139	622	3826
140	625	3809
141	629	3804
142	632	3788
143	635	3777
144	638	3762
145	641	3753
146	644	3740
147	649	3737
148	651	3722
149	663	3757
150	665	3743
151	669	3736
152	672	3723
153	676	3713
154	678	3701
155	682	3692
156	684	3677
157	688	3671
158	691	3658
159	695	3653
160	698	3640
161	702	3633
162	705	3623
163	709	3618
164	712	3605
165	715	3597
166	718	3585
167	723	3585
168	726	3573
169	731	3572
170	735	3565
171	739	3561
172	743	3552
173	747	3549
174	751	3542
175	755	3538
176	759	3530
177	763	3526
178	767	3519
179	771	3515
180	773	3500
181	776	3491
182	779	3480
183	783	3476
184	786	3465
185	790	3459
186	793	3448
187	797	3443
188	800	3436
189	804	3430
190	807	3419
191	811	3414
192	814	3406
193	818	3401
194	821	3390
195	825	3384
196	827	3373
197	831	3369
198	834	3358
199	838	3352
200	840	3340
201	843	3333
202	846	3323
203	850	3316
204	852	3306
205	856	3299
206	858	3289
207	862	3282
208	864	3272
209	868	3266
210	870	3255
211	873	3248
212	876	3237
213	879	3231
214	882	3220
215	884	3211
216	887	3200
217	890	3193
218	892	3182
219	896	3177
220	898	3166
221	901	3160
222	904	3150
223	907	3144
224	909	3134
225	913	3127
226	915	3118
227	919	3112
228	921	3103
229	924	3096
230	927	3086
231	930	3079
232	933	3071
233	936	3067
234	940	3061
235	945	3059
236	948	3052
237	952	3049
238	955	3043
239	961	3043
240	964	3036
241	968	3034
242	972	3028
243	977	3027
244	985	3035
245	996	3055
246	1020	3111
247	1046	3173
248	1055	3183
249	1070	3212
250	1080	3224
251	1088	3230
252	1094	3231
253	1102	3239
