,IDENTIFIER,DAYS_ENGAGED,APPS_USED
1,114076,3,6.0
5,111254,6,16.0
10,246727,10,11.0
13,206520,1,2.0
14,295203,21,79.0
16,112478,8,11.0
20,282037,11,16.0
24,209447,3,3.0
26,144271,7,8.0
27,245922,2,2.0
28,311772,12,19.0
39,215601,6,3.0
43,307678,10,33.0
46,269802,1,
52,318591,10,16.0
53,163420,7,10.0
63,152218,1,2.0
74,139122,18,9.0
79,169956,1,2.0
85,261852,7,7.0
86,269870,17,13.0
87,231075,16,9.0
88,150697,3,6.0
100,220913,4,4.0
101,178582,14,12.0
102,211003,1,
104,104903,2,1.0
107,243966,3,7.0
108,137569,15,46.0
110,278425,6,14.0
116,112168,8,8.0
125,194256,19,37.0
133,173136,5,7.0
135,138054,10,16.0
138,269872,9,6.0
139,125375,21,23.0
140,159968,24,46.0
141,205748,19,34.0
144,113860,7,10.0
147,166685,7,4.0
148,310264,10,14.0
149,132967,9,26.0
152,286960,13,13.0
153,152618,2,3.0
156,300791,3,18.0
160,166205,16,20.0
161,307933,19,21.0
162,147923,1,
164,173863,6,6.0
165,233870,9,16.0
168,159165,3,13.0
169,199728,25,11.0
178,106225,17,66.0
179,263347,22,18.0
180,192663,8,2.0
181,187661,13,23.0
186,180512,19,40.0
191,121375,1,
202,321215,1,
204,307366,9,8.0
208,247700,5,12.0
212,230097,11,12.0
213,304891,8,1.0
217,208892,9,14.0
237,210497,13,28.0
249,190295,5,4.0
252,120992,21,66.0
256,128492,8,1.0
264,249030,6,5.0
269,240972,4,5.0
272,120905,7,12.0
280,299561,12,17.0
282,245652,27,9.0
286,232547,6,6.0
287,174798,21,29.0
297,102177,18,2.0
304,212883,6,10.0
312,300456,5,5.0
314,305867,6,6.0
316,213054,11,25.0
320,111959,3,8.0
321,233197,9,17.0
336,137232,7,31.0
338,144536,14,14.0
341,228838,5,3.0
346,177963,9,19.0
356,192348,12,16.0
357,244542,17,40.0
362,105756,8,3.0
364,191806,16,14.0
367,134686,2,2.0
377,211727,2,1.0
380,214752,9,10.0
382,316735,4,3.0
385,139549,11,13.0
389,214942,2,
390,180346,2,2.0
394,153454,2,5.0
399,162166,6,5.0
405,278025,13,22.0
406,149506,5,8.0
408,219723,4,6.0
410,321781,1,1.0
413,272749,9,13.0
414,250499,16,20.0
416,273443,10,6.0
419,275593,3,1.0
420,203867,19,16.0
421,109145,17,13.0
426,255490,7,10.0
430,235238,17,16.0
440,103489,1,1.0
445,128559,6,11.0
448,145923,1,1.0
449,179791,4,7.0
457,184041,6,7.0
463,247016,10,9.0
464,227191,20,57.0
468,171963,9,12.0
471,168817,8,7.0
472,266585,16,20.0
476,267651,2,1.0
477,138651,12,21.0
479,120816,5,6.0
484,310649,11,3.0
485,199379,7,7.0
486,259554,7,6.0
488,235107,3,3.0
494,105075,1,1.0
498,281971,1,3.0
504,296090,3,6.0
505,124735,11,21.0
506,153552,9,12.0
511,271461,4,6.0
513,205213,10,13.0
514,200493,1,3.0
516,264819,3,8.0
517,150797,16,22.0
518,300854,12,25.0
519,163006,4,7.0
522,236637,7,10.0
523,229141,1,2.0
524,183291,19,13.0
525,220084,3,5.0
529,190391,1,
531,208624,6,4.0
536,218266,11,7.0
539,103391,23,73.0
541,193384,10,16.0
544,303251,10,10.0
547,122272,8,7.0
548,102326,9,3.0
552,277731,26,33.0
555,141144,1,5.0
559,137013,15,33.0
562,129218,3,5.0
566,290134,3,2.0
570,237091,16,17.0
574,158372,1,1.0
575,126787,14,29.0
581,265147,2,10.0
582,136939,23,95.0
589,175980,3,5.0
591,320480,5,7.0
595,156351,15,14.0
598,137640,5,17.0
599,159946,8,22.0
607,282246,4,4.0
609,275387,9,2.0
612,311322,16,37.0
620,103248,4,5.0
623,205481,6,7.0
629,105876,19,8.0
632,147904,14,9.0
635,135109,13,29.0
638,303999,8,3.0
642,187509,7,16.0
643,277100,6,2.0
644,107097,10,26.0
646,138205,7,14.0
651,118783,15,21.0
656,252858,5,7.0
665,190414,4,
666,309350,4,2.0
670,169465,2,
687,268935,4,11.0
693,176396,17,19.0
702,171175,11,13.0
703,205837,2,1.0
704,123670,17,11.0
708,111772,7,25.0
709,280581,11,7.0
715,103356,5,7.0
716,106837,18,67.0
717,312152,9,11.0
722,100414,25,90.0
730,102269,11,22.0
735,170880,24,40.0
738,200301,9,13.0
739,144101,3,1.0
747,175988,10,3.0
751,238498,2,
753,292614,4,5.0
761,123183,5,11.0
768,202018,2,4.0
769,118498,11,11.0
772,149890,13,47.0
773,285793,8,5.0
777,210813,9,4.0
791,280592,8,12.0
792,129049,9,9.0
793,272416,1,
796,132865,6,15.0
798,214074,16,19.0
799,232256,17,42.0
800,262985,9,11.0
803,189867,7,4.0
806,320206,3,4.0
807,115552,14,31.0
809,281051,8,10.0
815,222659,3,2.0
824,140736,25,10.0
825,313553,4,3.0
826,211280,17,16.0
828,113226,14,38.0
836,119531,8,11.0
837,242363,14,5.0
840,320686,6,
846,116854,3,
850,288166,12,4.0
851,283153,14,20.0
853,318537,8,4.0
854,170481,2,2.0
857,323639,12,22.0
858,262320,4,8.0
859,147411,8,11.0
860,199115,11,3.0
866,118468,13,28.0
869,321580,21,34.0
871,188679,9,10.0
873,179281,2,2.0
874,131817,4,5.0
885,283178,2,2.0
889,266278,1,
890,122551,18,9.0
894,183718,7,17.0
896,263323,6,10.0
901,277764,12,14.0
906,125489,5,4.0
907,127154,1,6.0
913,265485,13,13.0
914,229144,5,8.0
915,203136,7,5.0
921,296434,9,14.0
924,165134,4,2.0
926,156646,2,
927,290865,29,64.0
928,235901,2,1.0
931,278821,4,2.0
932,287854,9,9.0
933,133634,23,53.0
934,111911,5,24.0
935,306588,4,4.0
936,294209,10,17.0
947,129894,3,27.0
951,290317,8,9.0
953,166370,7,10.0
954,304849,3,3.0
955,140919,21,16.0
962,226081,5,16.0
964,231984,7,13.0
965,100673,14,29.0
966,259278,11,10.0
968,286932,5,3.0
971,261925,8,12.0
980,175236,2,
982,237438,7,6.0
984,115940,2,1.0
985,247867,3,4.0
994,118145,8,16.0
995,143108,9,17.0
996,275502,2,2.0
998,277247,1,4.0
1000,272720,13,20.0
1003,192792,13,26.0
1007,173440,18,25.0
1008,242989,8,14.0
1011,272291,12,19.0
1018,106676,16,13.0
1021,110290,11,13.0
1024,239528,2,
1025,159208,16,6.0
1026,244340,2,
1031,144190,6,3.0
1033,177956,11,15.0
1035,173729,4,3.0
1039,218800,14,12.0
1042,263227,2,3.0
1043,117812,11,7.0
1045,142071,4,15.0
1049,127732,6,9.0
1051,267199,22,67.0
1052,209181,6,7.0
1055,165359,10,22.0
1067,130307,5,5.0
1076,247042,7,8.0
1077,210783,5,8.0
1082,217255,8,17.0
1085,202848,7,8.0
1094,261523,5,4.0
1097,292641,19,
1101,209556,14,20.0
1103,257615,5,7.0
1110,302417,8,2.0
1301,289882,3,4.0
1302,184115,7,10.0
1305,102492,2,6.0
1309,146891,1,3.0
1310,229491,11,17.0
1315,126536,9,17.0
1316,130635,8,10.0
1318,104261,14,19.0
1324,206329,14,18.0
1327,160665,11,11.0
1328,131433,16,29.0
1329,300041,5,3.0
1330,230111,11,10.0
1333,139157,14,20.0
1335,107414,15,22.0
1336,296799,4,3.0
1337,293954,5,7.0
1338,124786,25,118.0
1342,171848,5,5.0
1347,190021,8,26.0
1348,114137,14,17.0
1354,308084,2,3.0
1356,308516,8,6.0
1357,294933,5,1.0
1359,118751,19,19.0
1366,212153,5,3.0
1369,176989,1,1.0
1370,125231,5,12.0
1371,260844,4,6.0
1380,120537,2,7.0
1386,187326,4,6.0
1389,280664,2,4.0
1394,109641,22,57.0
1397,113988,6,
1398,256720,9,17.0
1401,288084,14,16.0
1404,220435,4,5.0
1405,110654,11,19.0
1408,105372,1,3.0
1416,206900,8,3.0
1420,276751,6,8.0
1425,137732,10,19.0
1429,319175,3,2.0
1437,115856,3,4.0
1438,170919,4,6.0
1446,154829,9,12.0
1449,182280,2,1.0
1454,120523,6,7.0
1456,112534,9,16.0
1461,317769,4,
1467,305572,3,3.0
1468,243356,8,2.0
1479,252093,6,9.0
1482,309203,7,15.0
1483,150823,8,4.0
1485,235833,7,19.0
1488,134902,10,18.0
1490,217077,4,5.0
1491,305727,4,4.0
1495,279893,1,2.0
1500,180566,19,28.0
1508,135854,5,3.0
1509,324879,3,10.0
1511,124813,8,10.0
1515,121039,22,40.0
1516,243968,7,8.0
1520,161440,1,4.0
1521,110270,3,2.0
1527,299816,9,41.0
1528,128564,24,25.0
1532,166316,15,36.0
1540,304048,5,4.0
1541,154352,14,13.0
1544,167178,11,13.0
1550,184243,3,4.0
1560,318133,2,3.0
1562,132299,3,11.0
1565,128491,8,6.0
1567,150129,3,16.0
1569,138747,4,6.0
1570,139483,17,40.0
1571,107051,5,8.0
1572,118003,3,8.0
1573,312595,5,8.0
1577,151464,19,25.0
1578,235284,6,
1582,166508,8,18.0
1583,188238,10,11.0
1585,182641,6,8.0
1587,184968,6,3.0
1589,124715,8,14.0
1592,208464,24,14.0
1593,157280,15,15.0
1597,195347,16,5.0
1605,224497,11,36.0
1606,137331,10,12.0
1610,189085,4,7.0
1611,177976,2,2.0
1618,154004,7,9.0
1621,255290,1,2.0
1624,168902,6,4.0
1630,240697,11,38.0
1632,105771,5,5.0
1634,131855,7,12.0
1636,242793,3,4.0
1637,103227,11,22.0
1643,190415,2,4.0
1644,280536,24,12.0
1653,112740,5,5.0
1657,191049,9,10.0
1668,136938,4,6.0
1669,155606,14,30.0
1671,171650,4,9.0
1672,253938,4,5.0
1682,219342,2,5.0
1684,239344,6,5.0
1686,302121,3,1.0
1687,167211,5,14.0
1688,322995,6,33.0
1690,151944,10,2.0
1696,100056,7,14.0
1700,321644,11,16.0
1701,104792,11,12.0
1702,313607,6,3.0
1703,168233,4,13.0
1705,246213,2,7.0
1708,167792,2,2.0
1709,301947,3,
1726,143236,12,22.0
1727,286928,15,28.0
1736,128849,21,70.0
1749,200449,9,8.0
1765,203377,15,17.0
1769,267888,4,8.0
1771,202029,8,12.0
1777,119747,9,16.0
1784,104353,19,38.0
1786,318162,6,5.0
1787,209182,5,7.0
1791,140956,4,1.0
1793,133747,10,28.0
1794,291075,13,16.0
1796,204889,8,10.0
1799,123738,1,5.0
1803,210584,2,
1804,308237,3,4.0
1809,316559,5,3.0
1811,276997,10,10.0
1818,100788,14,5.0
1820,245881,1,1.0
1821,119374,12,16.0
1822,100688,16,5.0
1824,105381,4,10.0
1829,136778,4,14.0
1830,325184,2,2.0
1834,229542,3,
1836,172393,9,3.0
1844,142210,18,26.0
1845,112171,2,4.0
1846,159391,7,10.0
1848,209833,4,3.0
1849,171168,11,11.0
1853,158254,2,2.0
1855,212008,11,13.0
1860,305070,3,3.0
1862,182080,7,8.0
1863,181725,6,10.0
1866,259861,3,
1870,234684,8,17.0
1873,168848,11,13.0
1875,242887,4,
1877,185269,4,5.0
1879,133132,2,2.0
1884,124852,13,35.0
1888,202035,22,13.0
1889,131599,4,2.0
1896,147997,7,4.0
1902,238281,7,5.0
1905,108715,7,6.0
1907,173348,17,17.0
1908,115957,5,
1909,173624,1,
1914,199588,17,18.0
1915,294436,2,1.0
1917,156272,7,26.0
1919,198916,9,21.0
1925,194107,12,20.0
1926,146551,8,10.0
1927,269236,8,7.0
1933,315321,1,3.0
1936,114560,23,38.0
1939,106700,5,8.0
1942,201275,5,3.0
1946,102348,8,14.0
1949,246146,13,9.0
1953,101283,7,8.0
1956,206715,2,1.0
1959,259976,4,6.0
1960,293341,10,12.0
1966,116780,6,8.0
1969,126271,11,12.0
1971,234042,8,15.0
1972,248895,2,1.0
1976,246379,11,14.0
1979,117660,12,9.0
1982,119686,4,12.0
1985,243105,3,7.0
1988,256516,4,11.0
1992,109827,5,3.0
1993,100199,13,15.0
1996,174063,1,1.0
2000,220141,1,
2008,189693,5,5.0
2009,247618,7,7.0
2011,279485,7,20.0
2012,116205,10,15.0
2014,153993,9,12.0
2021,231825,11,23.0
2025,107203,23,50.0
2028,183685,5,2.0
2033,126647,7,5.0
2034,297457,6,3.0
2036,192284,5,10.0
2039,293039,1,
2040,187719,11,17.0
2042,178505,3,4.0
2046,317939,14,27.0
2054,134045,1,
2056,121842,2,3.0
2063,119505,8,9.0
2066,194105,7,2.0
2069,127052,19,24.0
2071,141747,6,3.0
2074,163786,14,13.0
2077,279697,6,6.0
2078,274731,9,17.0
2079,106948,14,1.0
2083,292943,14,33.0
2084,271323,8,11.0
2085,108948,13,14.0
2092,232023,7,7.0
2096,239785,2,3.0
2101,245099,12,13.0
2102,271371,10,14.0
2107,119183,2,8.0
2113,276452,4,10.0
2118,136175,7,20.0
2119,208669,5,8.0
2123,274406,2,
2147,118151,9,14.0
2149,283280,3,6.0
2153,104174,21,23.0
2154,208772,12,24.0
2155,296208,3,1.0
2156,111937,6,7.0
2172,140172,5,7.0
2178,173918,11,15.0
2179,163017,7,10.0
2180,296721,1,
2181,184367,7,11.0
2189,154220,8,25.0
2191,294503,8,9.0
2192,302978,10,11.0
2200,310693,3,3.0
2202,133826,1,3.0
2203,238752,2,1.0
2208,324127,25,34.0
2210,171632,14,13.0
2212,151307,3,4.0
2215,227671,19,19.0
2218,111163,2,1.0
2220,302763,2,10.0
2221,166959,1,1.0
2222,130084,15,35.0
2225,107526,8,13.0
2229,122670,3,2.0
2230,300784,22,32.0
2234,209046,13,12.0
2235,261771,2,3.0
2242,118329,2,1.0
2250,123898,3,16.0
2252,234843,7,5.0
2258,218850,3,4.0
2262,273179,7,
2263,224141,8,12.0
2267,260294,9,4.0
2272,274395,13,2.0
2425,199969,17,24.0
2428,206076,5,6.0
2429,138800,13,7.0
2430,140018,17,28.0
2431,135920,8,8.0
2434,181301,3,4.0
2435,224950,4,7.0
2436,141491,3,3.0
2437,150689,6,
2441,213209,1,1.0
2442,250839,12,13.0
2444,308075,12,14.0
2446,103077,20,27.0
2449,217020,4,5.0
2450,248127,4,7.0
2458,110592,11,27.0
2459,121488,24,30.0
2460,300870,10,5.0
2468,128923,16,12.0
2470,187913,17,26.0
2473,199434,6,1.0
2475,263100,20,15.0
2479,118188,5,11.0
2485,226197,7,7.0
2489,273935,6,3.0
2490,262483,8,6.0
2494,324776,5,8.0
2497,182122,5,6.0
2499,109599,1,1.0
2500,110889,8,3.0
2502,254028,24,63.0
2504,282718,12,11.0
2508,261892,1,4.0
2509,122082,9,15.0
2510,237123,2,2.0
2514,240357,8,3.0
2517,192997,11,4.0
2518,208900,2,
2522,101912,3,2.0
2525,128647,6,11.0
2526,110705,13,34.0
2529,112480,3,7.0
2541,258290,2,2.0
2548,277380,6,3.0
2550,119005,4,8.0
2555,249313,10,5.0
2556,312628,1,
2558,104073,21,75.0
2561,100479,2,3.0
2562,325811,10,29.0
2575,164424,5,11.0
2579,253191,6,17.0
2585,215030,15,22.0
2586,283030,6,3.0
2593,197788,2,2.0
2607,132914,24,80.0
2608,206627,5,
2615,142287,17,33.0
2620,307525,3,5.0
2621,244785,12,26.0
2624,115158,8,17.0
2625,198325,4,3.0
2626,185049,5,6.0
2634,204959,2,3.0
2636,114023,15,8.0
2640,268961,5,1.0
2641,158812,12,14.0
2642,187133,6,9.0
2643,138059,2,5.0
2644,240197,8,10.0
2650,269227,9,11.0
2651,227482,3,
2655,246583,4,3.0
2662,261593,12,9.0
2668,225092,4,5.0
2670,102769,6,8.0
2671,103455,15,23.0
2672,282494,15,23.0
2675,223191,20,39.0
2676,318480,3,3.0
2679,312863,6,7.0
2688,210249,5,5.0
2690,128449,5,10.0
2693,276559,12,5.0
2697,211541,11,16.0
2701,320456,14,19.0
2705,131467,4,6.0
2706,289782,1,3.0
2709,131314,6,8.0
2720,278465,3,1.0
2722,286393,1,1.0
2724,214652,10,28.0
2728,118757,16,28.0
2734,272654,8,11.0
2735,165428,14,24.0
2739,120988,15,16.0
2741,159506,3,5.0
2743,180387,10,11.0
2744,238288,1,
2747,200835,9,10.0
2748,174326,8,19.0
2749,150608,24,33.0
2750,115186,5,4.0
2751,186804,10,10.0
2758,193289,11,4.0
2761,194675,5,4.0
2765,114652,2,3.0
2770,148853,11,6.0
2774,301912,13,12.0
2778,288925,13,26.0
2783,155302,2,1.0
2788,243361,5,4.0
2789,302694,4,4.0
2790,197340,10,12.0
2795,153368,5,8.0
2798,244230,10,27.0
2799,255646,3,1.0
2801,133176,4,3.0
2802,294222,3,1.0
2804,229851,8,5.0
2810,117784,16,6.0
2812,164857,3,10.0
2813,218311,1,1.0
2814,128821,10,17.0
2820,110089,16,34.0
2821,155766,6,11.0
2830,227816,2,1.0
2831,234632,8,3.0
2837,247309,5,7.0
2843,302624,6,2.0
2845,139404,5,16.0
2848,141559,1,
2858,288892,1,2.0
2860,292059,9,34.0
2862,295563,5,20.0
2863,114857,11,11.0
2866,246684,4,6.0
2872,247286,1,
2876,134707,5,7.0
2877,173166,11,9.0
2879,210853,4,3.0
2880,284247,23,3.0
2882,198547,18,21.0
2884,145087,2,3.0
2889,174210,16,15.0
2892,193048,8,11.0
2897,270501,6,10.0
2899,236329,7,2.0
2901,322790,5,7.0
2902,273126,10,6.0
2903,270240,6,
2904,178652,9,9.0
2919,238610,5,8.0
2926,141562,6,3.0
2927,236133,2,2.0
2928,191462,1,2.0
2930,186385,3,11.0
2933,121447,1,3.0
2935,201031,1,2.0
2941,134730,3,3.0
2942,133751,9,2.0
2947,159047,9,7.0
2948,279808,5,3.0
2951,166796,8,18.0
2952,220321,14,1.0
2959,172950,10,11.0
2961,111016,9,15.0
2965,199136,3,1.0
2967,272295,3,3.0
2971,119486,4,4.0
2975,201266,4,7.0
2979,247456,9,11.0
2980,100523,22,21.0
2984,172663,17,35.0
2985,185534,1,1.0
