,IDENTIFIER,TRX_AMOUNT,TRX_CNT,MERCHANT_CNT,MODE_1,MODE_1_CNT
1,128288,34.52,3,3,Bills,1
7,125375,48.25,4,3,Bills,2
8,130802,137.44,8,6,Bills,4
14,111111,96.91,7,4,Bills,5
15,127417,80.57,7,5,Bills,4
18,133637,55.25,5,4,Bills,2
19,104487,79.77,4,4,Bills,2
20,100506,51.09,6,5,Bills,3
21,140007,35.89,4,4,Bills,2
31,107053,47.62,5,4,Bills,2
32,100751,49.24,3,3,Bills,1
43,132804,48.85,4,4,Bills,2
44,126616,43.78,4,4,Bills,2
53,134781,35.16,4,3,Bills,2
54,115058,153.35,9,5,Bills,4
55,113475,79.21,3,3,Bills,1
56,136224,65.0,6,5,Bills,3
61,116642,122.92,4,4,Bills,2
62,104053,51.07,7,5,Bills,3
63,131264,68.15,4,4,Bills,2
64,142702,26.84,3,3,Bills,1
76,123060,49.95,4,4,Bills,2
77,108585,258.56,7,4,Bills,5
88,101509,33.8,3,3,Bills,1
97,129165,19.69,4,4,Bills,1
98,181733,51.09,3,3,Bills,1
99,116585,55.75,4,4,Bills,2
108,100393,48.75,4,4,Bills,2
117,115907,31.26,5,5,Bills,2
124,106629,159.75,6,6,Bills,3
125,120945,34.68,3,3,Bills,1
131,132948,21.48,12,6,Bills,4
132,119435,102.71,12,6,Bills,7
147,129544,65.11,4,4,Bills,2
148,120211,38.41,4,4,Bills,2
158,122575,51.77,5,5,Bills,2
167,112488,84.02,5,4,Bills,3
168,113753,45.15,4,4,Bills,2
169,100074,106.82,6,5,Bills,3
175,136598,94.41,9,6,Bills,4
180,140837,32.25,3,3,Bills,1
181,108886,27.51,3,3,Bills,1
182,122997,46.21,4,3,Bills,2
194,143179,85.68,5,3,Bills,3
202,128877,114.62,10,7,Bills,6
211,114772,33.92,4,4,Bills,2
217,119794,42.17,3,3,Bills,1
222,141237,70.79,5,5,Bills,2
223,107621,51.64,3,3,Bills,1
234,130862,82.15,3,3,Bills,1
235,103362,184.04,12,3,Bills,6
240,102914,130.63,6,4,Bills,3
263,126431,39.49,3,3,Bills,1
264,138816,101.67,4,3,Bills,2
271,127743,58.08,5,5,Bills,2
276,105450,47.73,5,5,Bills,2
278,142394,58.01,4,3,Bills,2
285,105562,19.77,4,4,Bills,2
287,128784,91.69,4,4,Bills,2
289,113455,73.8,4,3,Bills,2
295,118672,20.8,3,3,Bills,1
296,141548,39.42,4,3,Bills,2
303,109040,38.4,3,3,Bills,1
304,102401,34.68,3,3,Bills,1
306,130991,50.32,6,6,Bills,2
309,117232,89.89,5,4,Bills,2
310,136897,33.65,4,4,Bills,2
311,149289,49.46,8,6,Bills,3
313,139123,58.08,8,6,Bills,3
314,117224,31.55,4,4,Bills,2
316,116293,79.73,5,4,Bills,2
326,112903,43.75,7,6,Bills,3
330,246331,45.4,4,3,Bills,2
350,128181,136.51,6,4,Bills,4
351,124814,45.94,4,3,Bills,2
352,121073,9.68,3,3,Bills,1
354,122849,109.72,5,5,Bills,2
359,136896,30.73,4,4,Bills,1
360,136579,46.87,12,6,Bills,9
363,128842,139.68,16,10,Bills,6
364,110316,53.46,4,4,Bills,2
379,108016,44.31,4,4,Bills,2
380,128821,26.06,4,3,Bills,3
381,117072,18.19,2,2,Bills,1
382,110369,15.83,2,2,Bills,1
383,100056,51.04,4,3,Bills,2
384,132620,58.91,4,2,Bills,3
385,131314,115.03,5,3,Bills,4
404,139885,67.42,3,3,Bills,2
405,141322,15.83,2,2,Bills,1
406,132919,21.93,2,2,Bills,1
407,122819,20.23,2,2,Bills,1
419,103150,27.29,3,2,Bills,2
420,111866,15.91,2,2,Bills,1
421,102777,19.0,2,2,Bills,1
422,125726,16.33,2,2,Bills,1
423,124431,15.26,2,2,Bills,1
424,127524,35.37,3,3,Bills,2
433,112895,43.13,5,4,Bills,3
434,102786,10.11,2,2,Bills,1
435,108174,34.14,2,2,Bills,1
436,101705,34.16,4,3,Bills,3
437,141993,30.4,2,2,Bills,1
455,129377,52.31,3,2,Bills,2
456,137890,7.56,2,2,Bills,1
457,101724,30.83,3,3,Bills,2
458,104542,36.14,2,2,Bills,1
476,112158,9.09,2,2,Bills,1
477,129662,36.69,2,2,Bills,1
478,122715,55.58,4,4,Bills,2
479,103295,13.26,2,2,Bills,1
480,101543,33.0,4,4,Bills,3
481,117071,90.23,2,2,Bills,1
494,123608,17.93,2,2,Bills,1
495,102812,28.35,2,2,Bills,1
496,100667,15.69,2,2,Bills,1
497,131060,57.74,4,3,Bills,3
498,128629,39.36,2,2,Bills,1
513,139120,51.91,4,4,Bills,2
514,106067,5.91,2,2,Bills,1
531,141660,116.4,4,2,Bills,2
532,128298,57.91,6,3,Bills,5
548,136307,26.65,3,3,Bills,2
549,140798,38.71,2,2,Bills,1
550,133256,18.73,2,2,Bills,1
551,114914,69.47,5,2,Bills,3
552,105040,18.82,2,2,Bills,1
569,105817,20.18,2,2,Bills,1
570,141920,30.6,3,3,Bills,2
571,143318,22.09,2,2,Bills,1
572,116387,46.83,5,4,Bills,3
573,141921,31.56,3,3,Bills,2
574,117184,15.08,2,2,Bills,1
588,253931,36.54,2,2,Bills,1
589,105184,9.93,2,2,Bills,1
590,121820,35.84,3,3,Bills,2
591,135697,28.34,4,4,Bills,2
598,110902,28.62,2,2,Bills,1
607,111756,40.11,5,4,Bills,3
608,112746,66.06,2,2,Bills,1
609,109001,21.44,2,2,Bills,1
610,110347,16.4,2,2,Bills,1
611,112460,8.68,2,2,Bills,1
612,122970,17.43,2,2,Bills,1
613,127761,57.82,6,4,Bills,3
614,137414,21.29,2,2,Bills,1
615,112165,32.54,2,2,Bills,1
632,131591,16.19,2,2,Bills,1
633,130770,34.94,3,3,Bills,2
634,113808,54.52,4,4,Bills,2
635,132717,29.61,3,3,Bills,2
